tweet_created,username,user_follower_count,tweet_text,tweet_retweet_count,source
2022-10-09,sofia morera,31,mi love language es ser grosera y ofensiva,0,original tweet
2022-10-09,heavvv,2018,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,justin nomin au on pinned,15911,rt justineseen love language 404notexist nomin short au pacaran gada romantis romantisnya kerjannya cuman ngeledek aja tags,168,other
2022-10-09,nathaniel wells,207,rt classicfm star of the opera and concert stage bryn terfel joins moira stuart tonight to share some of his favourite classical music,4,other
2022-10-09,priego,47,rt jorgean79900422 mi love language es tirar hate,2,other
2022-10-09,paula,93,rt kansaita mi love language es literalmente esto https t co idt5baijtg,164,kansaita
2022-10-09,akash,7592,lunerpw gua gatau lovlang gua apaan but i can give darrel every love language tho,0,original tweet
2022-10-09,harrison adhikari,31,rt frankilovemusic everyday i improvise on the piano and when i hear something that i like i press record and make it into a song it,17,other
2022-10-09,syd,19,what s your main love language bitch i dunno can i pick 3 give me quality time with all the physical touch and https t co pcvwu,0,original tweet
2022-10-09,totwitdabigbooty,417,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,richard sharpe,1819,andrewbowie mp if you don t want to be detested then maybe you could try being less detestable amp snowflakey in re https t co lvzjbaltuz,0,original tweet
2022-10-09,leigh,52,rt percyelii of course i remembered is a love language,3412,percyelii
2022-10-09,augustine,711,rt miamiumiw doil love language say saranghae and kiss injoo save injoo s life more than once save her in court secured her money,124,other
2022-10-09,p,177,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,jwlee3,30,rt mathapel0prayer prayer is a love language,5,other
2022-10-09,thickums,287,quality time really became my primary love language,0,original tweet
2022-10-09,local clown and ghostiesimp,181,salemdraws2much i just really love them the need to be freed orca from different oceans all aheb their own lan https t co bnfzdqgm,0,original tweet
2022-10-09,v,226,my love language es cocinarte cosas dulces lt 3,0,original tweet
2022-10-09,milyyy,352,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,rivas,163,rt whotfckisfrank mi love language es estar chingue y chingue,2592,whotfckisfrank
2022-10-09,karla pm,0,rt mmtshop epex 4th ep album prelude of love chapter puppy love fansign event is now open october0 59 pm kst mmt,148,other
2022-10-09,cam,31,rt mvictoria69 creo que mi love language es joder,12771,other
2022-10-09,spirit ebooks bargain book deals book promos,4730,read free via kindleunlimited love is the voice of heaven forever and always we live top 5 book by david https t co pi3q65lfte,0,original tweet
2022-10-09,brormorc,116,96i85 mizu kamuro i can t translate the language but a can say that i love the boxing cat boy,0,original tweet
2022-10-09,pandra,861,rt kansaita mi love language es literalmente esto https t co idt5baijtg,164,kansaita
2022-10-09,ot5,66,rt seulrenethebae flowers are really seulrene s love language https t co 9hnmrpsc,727,seulrenethebae
2022-10-09,umi,659,rt blues of course i remembered is a love language,7386,other
2022-10-09,ftg llp,351,rt noheartinhim my love language is talking shit,1173,noheartinhim
